UserID,recommendation_1,recommendation_2,recommendation_3,recommendation_4
12924,1958,2802,4232,2780
18947,4110,1544,3861,286
20976,1054,2720,3407,2386
21412,2999,1405,2240,33
40564,4187,2172,2177,2390
42836,343291,300778,701122,317359
44918,2240,1405,2330,2243
48505,3780,3025,4057,1958
48894,532,3905,677,497
51680,1014,2329,498,677
65890,206,1129,3430,3732
68294,1587,880,491,2248
84617,2294,2224,3168,93
95089,4269,2456,2215,1643
113510,1464,2654,2155,2368
113849,3817,3352,3324,485
124914,270,2339,3492,1950
131720,633,3220,3260,1090
131863,2549,1240,2962,509
134337,2240,1405,1054,2330
134943,4187,2172,2177,2390
135987,1233,2832,2172,2177
138347,1030813,788041,223426,381166
140031,1984,3550,3495,474
143504,1054,817,2119,1420
144466,1521,1884,2882,3854
149135,1426,3373,2040,854
150458,1426,3314,4222,1125
155601,3991,690,3209,54
162839,1140,305,1885,3422
168758,2912,1652,521,458
172319,3996,4065,1054,910
173108,3688,2389,2596,2598
176198,2108,608,2151,1886
188711,127,1079,3372,2693
190626,817,2119,2071,917
198047,1285,876,2353,3385
198051,2850,1341,4150,4096
200590,2033,3025,4232,1662
201642,1048,2447,2038,2914
206080,2302,101,997,2425
210351,2615,2384,1487,1879
214215,960,2323,4177,2064
218232,3051,2241,3482,2951
221037,3454,2868,1658,1849
229620,1562,1445,1437,1421
232814,2069,490,1212,3610
233905,4110,488,4040,1663
236229,4187,2172,2177,2390
237967,2240,1405,2330,2243
240394,1745,2645,1922,2686
241449,3932,4218,3565,789
246768,2648,3496,810,144
249375,3764,1432,970,2952
249652,1987,804,2891,49
257727,817,2119,1046,348
258852,2720,3594,2747,3098
263607,3352,3037,4173,1537
282938,2999,33,3025,1541
288685,75,1386,4000,3777
292847,506,880,1587,491
300220,3327,2237,836,1241
307165,787,898,2952,4088
316798,1083,1795,497,605
324957,3483,2102,2793,2322
331220,3982,2876,2865,724
337585,3651,3605,3497,2256
339249,970,1432,3764,63
354905,2843,3858,424,523
356194,1233,1437,1541,1562
360395,2020,1490,2019,565
368367,1424,1438,1437,1436
374456,1059,869,3614,2087
379556,2272,1454,2934,1337
386235,2778,3871,2350,1699
396104,1131,3085,1425,1426
412328,2613,3479,1388,4014
414546,1274,1287,1288,3257
426493,586,2513,1681,2618
428046,2344,2922,3457,1112
433078,81,766,1037,2707
435903,2541,198,1573,1515
442615,3745,1624,3065,2002
448868,1173,699,191,1246
451375,1775,1644,90,2683
455762,3151,1817,2915,650
458409,958,3051,2241,3482
462255,2817,3313,1979,1674
465083,804,2891,1054,1987
480980,497410,702606,218288,158541
487382,4088,2952,1099,1249
489740,315,3007,829,1965
506676,2776,1037,1009,1450
509764,2466,3452,2817,1979
513709,3907,81,766,1127
514415,2648,3265,3758,2238
517865,240,3956,4215,1446
518366,1016,144,510,690
519321,2479,950,4157,3528
539448,434309,833902,182661,613940
548559,1054,817,2119,2954
548717,696,4153,2634,3733
549025,1192,3587,1053,3780
562690,1790,2373,3972,1981
567412,981,2169,1341,65
570323,43,4119,2278,2552
573598,458,2800,2077,1233
582615,1276,2277,787,1996
583412,1972,3680,1622,2663
586223,1623,2417,882,2888
592038,506,166,3598,990
593523,463,2840,630,3932
596229,93,2566,3404,295
604561,673,2947,3414,676
647688,691506,874607,782,996853
649762,1054,2119,817,2954
652399,2240,1405,2330,2243
654489,602,2307,481,2961
657124,817,2119,1054,3712
660936,1180,1290,2058,2057
665250,212537,511415,779489,979457
666770,1903,3069,3204,4275
670097,0,0,0,0
673264,1920,2240,1405,2889
673631,817,2119,1054,2464
675385,1348,1119,3416,34
676227,1395,1824,774,4283
693699,2962,2548,3235,509
699570,464,2736,465,3804
719826,190,2555,87,561
731600,1780,2994,588,3737
733024,2119,817,547,1054
733275,3353,1792,1296,3769
738972,599,1733,2354,1365
748277,3236,140,4283,4246
751346,2742,2069,3195,463
758083,869,3614,2087,1059
758654,1647,520,1221,1819
763233,1054,817,2119,2210
775280,1400,2237,2622,1241
784769,4187,2172,2177,2390
786953,1926,742,4232,4231
787409,4222,3764,970,1432
798730,1454,2934,3479,1388
800824,2566,93,295,3404
809648,898,4222,295,2566
812056,3764,970,1432,1775
813700,817,2119,1054,1233
834126,129,2603,2362,3479
836822,4213,1316,2124,1804
837332,1566,335,3109,1046
840204,2339,3292,1370,1813
844241,3350,4202,1545,2526
848176,2169,2102,2793,3483
848566,268,2952,1249,4088
864249,1233,2912,902,3664
874405,93,295,3404,2566
882229,2102,2322,2793,3483
883159,75,2922,1386,2952
895367,4088,1099,1249,2952
899637,2302,101,3611,3583
909842,262059,1065428,201925,871852
915818,481,2112,970,1432
916790,2917,339,2617,4212
917254,3367,2239,229,2839
